STT,type,name,score-text,Main Ingredients,Calories (Approx.),Suitable Time,Origin / Province
159,Pork Dish,Vietnamese Marinated Roasted Pork Loin (Khau nhuc),,"Pork belly, spices (star anise, cinnamon), dried mustard greens (steamed long)",600 - 800,Main / Festive,Lang Son (Tay/Nung people)
160,Sandwich,Pork Sausage Bánh Mì (Bánh mì chả lụa),,"Baguette, Vietnamese pork roll (ch? l?a), cucumber, soy sauce",350 - 450,Breakfast,Nationwide
161,Dessert,Xôi lá dứa,,"Glutinous rice, pandan leaf extract, coconut milk, sesame",300 - 400,Breakfast,Nationwide
162,Cake,Steamed Vietnamese Banana Cake (Bánh chuối hấp),,"Ripe bananas, tapioca starch, thick coconut cream sauce, sesame",200 - 300,Dessert / Snack,Southern Vietnam
163,Dumplings,Vietnamese Sticky Rice Dumplings (Bánh ít trần),,"Glutinous rice dough, mung bean/pork/shrimp filling (steamed without leaf)",250 - 300,Snack / Appetizer,Hue / Central Vietnam
164,Offal Dish,Vietnamese Offal Stew (Phá lấu),,"Bovine/Pork offal, coconut water, curry powder, baguette or noodles",300 - 400,Snack / Late Night,Ho Chi Minh City
165,Pork Dish,Vietnamese Fermented Pork (Nem phùng),,"Pork skin, lean meat, roasted rice powder (th�nh), fig leaves",150 - 200,Snack (Beer),Hanoi (Dan Phuong)
166,Noodle Soup,Vietnamese Noodle Soup with Pork and Shrimp (Hủ tiếu Mỹ Tho),,"Chewy clear glass noodles, pork, shrimp, squid, minced pork",400 - 500,Breakfast,Tien Giang
167,Sandwich,Sardine Bánh Mì (Bánh mì cá mòi),,"Baguette, canned sardines in tomato sauce, cucumber, cilantro",350 - 450,Breakfast,Nationwide
168,Chicken Soup,Black Chicken Hotpot (Lẩu gà đen),,"Black chicken (Silkie), local herbs, mushrooms, broth",500 - 600,Dinner,Sapa / Northwest
169,Chicken Soup,Double-boiled black chicken soup (Gà bạn đen hầm thuốc bắc),,"Black chicken, Chinese herbal medicine (goji, jujube, angelica)",300 - 400,Dinner / Health,Sapa / Nationwide
170,Goat Dish,Boiled Goat Meat with Lemon Juice (De tai chanh),,"Goat meat (lightly poached), lime juice, lemongrass, ginger, sesame",200 - 250,Main / Beer Snack,Ninh Binh
171,Fried Chicken Dish,No Escape Chicken (Đùi gà bó xôi),,"Whole chicken encased in sticky rice shell, deep-fried",600 - 800,Main / Party,Nationwide
172,Snack,Shredded Pork Rice Paper Rolls (Bì cuốn),,"Rice paper, shredded pork skin (b�), roasted rice powder, lettuce",100 - 150,Appetizer,Southern Vietnam
173,Porridge,Vietnamese Beef Porridge (Cháo bò),,"Rice porridge, ground beef or beef blood cubes, ginger",300 - 400,Breakfast / Dinner,Nationwide
174,Stir-fry,Sweet Snails (Ốc hương),,"Babylonia areolata snails (steamed, grilled, or stir-fried with salted egg)",100 - 150,Snack / Seafood,Coastal Regions
175,Salad,Hue Fig Salad (Va tron),,"Steamed green figs, shrimp, pork, sesame rice crackers",150 - 200,Appetizer,Hue
176,Fish Soup,Ca Linh Fish and River Hemp Flower Hot Pot (Lẩu cá linh bông điên điển),,"Siamese mud carp, river hemp flowers (yellow), sour broth",400 - 500,Lunch / Dinner,Mekong Delta (Flood Season)
177,Soup,Rainbow Trout and Sturgeon Hot Pot (Lẩu cá tầm cá hồi),,"Sturgeon or Salmon, sour bamboo shoots, pineapple, celery",500 - 600,Dinner,Sapa / Dalat
178,Seafood Soup,Vietnamese Seafood Hot Pot (Lẩu do bien),,"Shrimp, squid, clams, fish, spicy and sour broth",400 - 500,Dinner,Coastal Regions
179,Soup,Fermented Fish Hot Pot (Lẩu mắm Châu Đốc),,"Fermented fish paste broth (M?m), eggplant, roast pork, seafood, water lilies",500 - 600,Dinner,Chau Doc / Mekong Delta
180,Dessert,Coconut Pandan Waffles (Bánh kẹp lá dứa),,"Flour, coconut milk, pandan, egg (waffle mold)",200 - 250,Snack,Southern Vietnam
181,Freshwater Fish Dish,Grilled Freshwater Mountain Fish (Pa pỉnh tộp),,"Stream fish, stuffed with herbs/mac khen seeds, grilled folded",200 - 300,Main Course,Northwest (Thai People)
182,Pork Dish,Sapa Black Pork Skewers (Thit lon nuong muoi vung),,"Local pork, wild spices, sesame salt",300 - 400,Snack / Dinner,Sapa
183,Beef Dish,Grilled Beef in Fresh Bamboo (Bò nướng ống tre),,"Beef strips, lemongrass, spices stuffed in bamboo tube",250 - 350,Main Course,Central Highlands
184,Noodle Soup,Smooth Rice Noodle Soup with Fish (Bún cá Long Xuyên),,"Vermicelli, snakehead fish, turmeric, yellow flowers (?i�n ?i?n)",350 - 450,Breakfast,An Giang
185,Game Dish,Rice Field Mouse Roasted in a Vase (Chuột đồng quay lu),,"Rice field mouse, spices, roasted in ceramic jar",200 - 300,Main / Exotic,Mekong Delta
186,Rice Dish,Coconut Steamed Rice with Baby Shrimp (Cơm dừa tép rang),,"Rice cooked in coconut shell, savory roasted baby shrimp",500 - 600,Lunch,Ben Tre
187,Noodle Dish,Da Nang-Style Rice Noodles with Fermented Fish Sauce and Pork (Bún mắm Da Nang),,"Vermicelli, boiled pork/roasted pork, fermented anchovy sauce (dry mixed)",400 - 500,Lunch,Da Nang
188,Vegan Dish,Tofu in Tomato-Pepper Sauce (Đậu hũ sốt cà),,"Fried tofu, fresh tomato sauce, scallions",200 - 300,Main Course,Nationwide
189,Salad,Banana Blossom Salad (Nộm hoa chuối),,"Banana blossom strips, chicken/pig ear, peanuts, herbs",100 - 150,Appetizer,Nationwide
190,Appetizer,Deep-Fried Pumpkin Flowers (Bông bí chiên giòn),,"Pumpkin flowers, tempura batter",150 - 200,Side Dish,Nationwide
191,Snack,Sapa Chestnut Cake (Bánh hạt dẻ),,"Flour crust, mashed chestnut filling, grilled on griddle",200 - 300,Snack,Sapa
192,Snail Dish,Mountain Snails with Lemongrass and Ginger (Oc luoc xa),,"Freshwater snails, lemongrass, lime leaves, ginger dipping sauce",50 - 100,Snack,Northern Vietnam
193,Sandwich,Head Cheese Banh Mi (Bánh mì giò thủ),,"Baguette, Vietnamese head cheese (ear/snout/mushroom), cucumber",400 - 500,Breakfast,Nationwide
194,Salad,Vietnamese Raw Fish Salad (Gỏi cá mai),,"White sardine (C� mai), lime, peanuts, sesame, herbs",150 - 200,Appetizer,Ninh Thuan / Vung Tau
195,Noodle Soup,Rice Noodle Soup with Baby Clams in Coconut Broth (Bánh canh hến nước cốt dừa),,"Thick tapioca noodles, baby clams, coconut milk broth",450 - 550,Breakfast,Ben Tre
196,Egg Dish,Bitter Melon with Eggs (Mướp xào trứng),,"Sponge gourd (Luffa), eggs, garlic (stir-fried)",150 - 200,Main Course,Nationwide
197,Noodle Dish,Que Son Tapioca Noodle in Spicy Sauce (Phở sắn Quế Sơn trộn sốt cay),,"Cassava flour net-noodles, banana blossom, tuna/pork sauce (spicy)",350 - 450,Breakfast / Lunch,Quang Nam (Que Son)
198,Stir-fry,Chayote Squash and Garlic Stir-Fry (Quả su su xào tỏi),,"Chayote squash tops/fruit, garlic, oil",100 - 150,Side Dish,Tam Dao / Sapa
199,Stir-fry,Preserved Mustard Greens with Smoked Pork Belly (Cải mèo xào thịt lợn gác bếp),,"Bitter mustard greens (C?i m�o), smoked pork belly, ginger",250 - 350,Main Course,Northwest / Sapa
